sentiment,review_body,product_category
-1,I ordered this shirt online and just received it in the mail. the floral design is nice  but the mesh fabric in the back is low quality and cheapens the look of the shirt (especially considering the price). most disappointingly  the neck hole is almost as small as the arm holes. with no zipper or button opening i could not fit my head through the opening and  thus  could not even put the shirt on. needless to say  i will be returning it. i ordered the xs  so it is possible that larger sizes do n,Blouses
-1,The stone color was nice  but the material is heavy and doesn't breath. if you are partial to more natural fabrics i would go with a different item. upside would be that i imagine this shirt will last.,Blouses
-1,Gals  if you absolutely must have this top wait for it to go on sale (don't worry  it will). between the poor fit and the polyester  i have no good things to report about it. this is very much below retailer's usual quality and style.,Blouses
-1,I had such high hopes for this blouse  as it looks totally stunning online. however  it's not as pictured/described in that it is totally sheer and the brand is not floreat  but rather hd in paris. for the price  the quality is just not there...i've seen comparable shirts at other stores for much less. i returned it without a second thought.,Blouses
-1,So much right but then....too short.,Blouses
-1,I love the color of this top but the style is not flattering. i normally wear a l or xl in retailer clothes and i ordered a l in this and it was massive! i went into the store to try on a medium and it fit much better but is still very bulky around the middle where the ruffles are and it is very wide. bummer,Blouses
-1,Wow this is huge! i'm all for the tent-look with the right style  but this was absurd. i could have fit two of me into the width  and with the peplum style  extra width doesn't flatter anyone. the fabric is also so thin that it doesn't hang nicely  it kind of floats around the body. if you want a wide top  then this is perfect  but if you wanted something that hangs nicely  look elsewhere. i purchased a petite s  my typical size.,Blouses
-1,This item is huge. i'm normally a medium  sized down to a small  still massive. couldn't go too much smaller because the buttons would pull at the chest. but the sleeves are very wide  as is the waist. way too much fabric. i had high hopes for this one but it just doesn't work. for reference i love billowy and flowy tops  but this was a tent.,Blouses
-1,Looks great on the photo and from previous reviews i decided to give it a try. the material seems cheap and stiff. would not fit my frame well.,Blouses
0,The detail on this top is beautiful  love the embroidery ! i wanted it to work so bad  but it is much too wide  bells out and makes my size 8/10 body look wider than it is  another reviewer mentioned the model must have it pinned on the sides  because the top does not lay like that. it runs large  especially under the arms. too bad......,Blouses
0,For fuller busted folks  this top may not work as it's unstructured and results in a tent from the boobs down. it's a shame--i found the gold embellishment beautiful.,Blouses
0,Loved the idea of this but content felt too thin and sheer.,Blouses
0,This item states you should wash in cold water and tumble dry low heat. it shrunk after first wash in cold water and i didn&#39;t even use the dryer. do not wash. real bummer..,Blouses
0,Beautiful top  i love the peplum. the color is actually cream with blush accents in the lace. i gave it two stars for quality because the hem was uncut and unfinished so it's going back.,Blouses
0,I'd been wanting the blouse for quite a while but hesitated based on reading reviews. when it went on sale i thought i'd try but it was like a tent on me. the fabric was pretty but just hung without any resemblance to photo. too bad because the color was gorgeous & could have been a favorite of looked like photo.,Blouses
0,This top was quite voluminous when i purchased it and i sized down to an xs  however after hand washing it once in cold water it has shrunk significantly. it still fits  but something to be aware of.,Blouses
0,Color is beautiful but looks like a maternity top on. i found i could tuck it in slacks and it looked fine. now for the cons:  it is supposed to be peacock design but i had only one peacock under my arm  which could be seen  i guess  if i waved. the rest were parts of the bird. i would love to have the one in the photos!  next  who thought cheap white buttons on the back was a good idea?  if i had gotten a nice patterned top  i would have replaced the buttons. blouses that i like never seem to b,Blouses
